train,val
TCGA-02-0003,TCGA-02-0033
TCGA-02-0047,TCGA-06-0130
TCGA-06-0119,TCGA-06-0145
TCGA-06-0122,TCGA-06-0158
TCGA-06-0128,TCGA-06-0187
TCGA-06-0132,TCGA-06-0213
TCGA-06-0137,TCGA-06-0241
TCGA-06-0139,TCGA-06-1084
TCGA-06-0142,TCGA-12-0616
TCGA-06-0154,TCGA-12-3650
TCGA-06-0166,TCGA-19-1789
TCGA-06-0168,TCGA-76-6282
TCGA-06-0184,TCGA-76-6656
TCGA-06-0185,TCGA-76-6664
TCGA-06-0188,TCGA-CS-4944
TCGA-06-0189,TCGA-CS-5393
TCGA-06-0190,TCGA-CS-5396
TCGA-06-0192,TCGA-CS-6186
TCGA-06-0238,TCGA-DU-5871
TCGA-06-0240,TCGA-DU-6404
TCGA-06-0644,TCGA-DU-7019
TCGA-06-0646,TCGA-DU-7306
TCGA-06-0648,TCGA-DU-7309
TCGA-06-0649,TCGA-DU-8162
TCGA-06-1802,TCGA-DU-8164
TCGA-06-2570,TCGA-DU-A5TW
TCGA-06-5408,TCGA-DU-A5TY
TCGA-06-5412,TCGA-DU-A6S3
TCGA-06-5413,TCGA-FG-7634
TCGA-06-6389,TCGA-FG-A713
TCGA-12-0829,TCGA-HT-8105
TCGA-12-1093,TCGA-HT-8106
TCGA-12-1598,TCGA-HT-8113
TCGA-12-1602,TCGA-HT-8114
TCGA-14-0789,TCGA-HT-A5RC
TCGA-14-1456,
TCGA-14-1794,
TCGA-14-1825,
TCGA-14-1829,
TCGA-14-3477,
TCGA-19-1390,
TCGA-19-2624,
TCGA-19-2631,
TCGA-19-5951,
TCGA-19-5954,
TCGA-19-5958,
TCGA-19-5960,
TCGA-27-1834,
TCGA-27-1838,
TCGA-27-2526,
TCGA-76-4934,
TCGA-76-4935,
TCGA-76-6191,
TCGA-76-6193,
TCGA-76-6280,
TCGA-76-6285,
TCGA-76-6657,
TCGA-76-6661,
TCGA-76-6662,
TCGA-76-6663,
TCGA-CS-4941,
TCGA-CS-4942,
TCGA-CS-4943,
TCGA-CS-5395,
TCGA-CS-5397,
TCGA-CS-6188,
TCGA-CS-6290,
TCGA-CS-6665,
TCGA-CS-6666,
TCGA-CS-6667,
TCGA-CS-6668,
TCGA-DU-5849,
TCGA-DU-5851,
TCGA-DU-5852,
TCGA-DU-5853,
TCGA-DU-5854,
TCGA-DU-5855,
TCGA-DU-5872,
TCGA-DU-5874,
TCGA-DU-6397,
TCGA-DU-6399,
TCGA-DU-6400,
TCGA-DU-6401,
TCGA-DU-6405,
TCGA-DU-6407,
TCGA-DU-6408,
TCGA-DU-6410,
TCGA-DU-6542,
TCGA-DU-7008,
TCGA-DU-7010,
TCGA-DU-7015,
TCGA-DU-7018,
TCGA-DU-7294,
TCGA-DU-7298,
TCGA-DU-7299,
TCGA-DU-7300,
TCGA-DU-7301,
TCGA-DU-7302,
TCGA-DU-7304,
TCGA-DU-8165,
TCGA-DU-8166,
TCGA-DU-8167,
TCGA-DU-8168,
TCGA-DU-A5TP,
TCGA-DU-A5TR,
TCGA-DU-A5TS,
TCGA-DU-A5TT,
TCGA-DU-A5TU,
TCGA-DU-A6S2,
TCGA-DU-A6S6,
TCGA-DU-A6S7,
TCGA-DU-A6S8,
TCGA-FG-5964,
TCGA-FG-6688,
TCGA-FG-6689,
TCGA-FG-6691,
TCGA-FG-6692,
TCGA-FG-7643,
TCGA-FG-A4MT,
TCGA-FG-A6IZ,
TCGA-HT-7473,
TCGA-HT-7475,
TCGA-HT-7602,
TCGA-HT-7616,
TCGA-HT-7680,
TCGA-HT-7684,
TCGA-HT-7686,
TCGA-HT-7690,
TCGA-HT-7692,
TCGA-HT-7693,
TCGA-HT-7694,
TCGA-HT-7855,
TCGA-HT-7856,
TCGA-HT-7860,
TCGA-HT-7874,
TCGA-HT-7879,
TCGA-HT-7882,
TCGA-HT-8018,
TCGA-HT-8107,
TCGA-HT-8111,
TCGA-HT-8563,
TCGA-HT-A614,
