epoch,step,train_loss_epoch,train_loss_step,val_loss
0,8,,,2.1650352478027344
0,8,2.1475024223327637,,
1,9,,2.1574883460998535,
1,17,,,2.1665823459625244
1,17,2.13063907623291,,
2,19,,2.0916638374328613,
2,26,,,2.065361738204956
2,26,2.1003429889678955,,
3,29,,2.090332508087158,
3,35,,,2.03279972076416
3,35,2.0856730937957764,,
4,39,,2.139172077178955,
4,44,,,2.0268256664276123
4,44,2.085651159286499,,
5,49,,2.098254680633545,
5,53,,,2.02773380279541
5,53,2.0765562057495117,,
6,59,,2.0888185501098633,
6,62,,,2.027015447616577
6,62,2.0689618587493896,,
7,69,,2.0897395610809326,
7,71,,,2.0253872871398926
7,71,2.068220376968384,,
8,79,,2.087808609008789,
8,80,,,2.024543523788452
8,80,2.0666966438293457,,
9,89,,1.392604112625122,
9,89,,,2.0225160121917725
9,89,2.0650486946105957,,
10,98,,,2.020306348800659
10,98,2.064910888671875,,
11,99,,2.081024408340454,
11,107,,,2.0207407474517822
11,107,2.0638070106506348,,
12,109,,2.0821750164031982,
12,116,,,2.0203697681427
12,116,2.062695026397705,,
13,119,,2.0813069343566895,
13,125,,,2.018674373626709
13,125,2.0635690689086914,,
14,129,,2.0814504623413086,
14,134,,,2.017799139022827
14,134,2.063702344894409,,
15,139,,2.08158278465271,
15,143,,,2.0173287391662598
15,143,2.062971591949463,,
16,149,,2.0814619064331055,
16,152,,,2.0170981884002686
16,152,2.062605619430542,,
17,159,,2.0802292823791504,
17,161,,,2.016826629638672
17,161,2.061429023742676,,
18,169,,2.080869674682617,
18,170,,,2.016157865524292
18,170,2.0620169639587402,,
19,179,,1.3885514736175537,
19,179,,,2.0147924423217773
19,179,2.0621352195739746,,
20,188,,,2.013442277908325
20,188,2.0610084533691406,,
21,189,,2.076188564300537,
21,197,,,2.0111424922943115
21,197,2.060722827911377,,
22,199,,2.082660675048828,
22,206,,,2.0050008296966553
22,206,2.0612406730651855,,
23,209,,2.0908806324005127,
23,215,,,1.9937503337860107
23,215,2.0584609508514404,,
24,219,,2.0616350173950195,
24,224,,,1.974618673324585
24,224,2.0510177612304688,,
25,229,,2.0089244842529297,
25,233,,,1.9762028455734253
25,233,2.048809051513672,,
26,239,,2.101975440979004,
26,242,,,2.0579729080200195
26,242,2.004509449005127,,
27,249,,1.9525363445281982,
27,251,,,2.274576425552368
27,251,1.9386640787124634,,
28,259,,2.2398362159729004,
28,260,,,2.2522897720336914
28,260,1.8744890689849854,,
29,269,,1.4378395080566406,
29,269,,,2.333392858505249
29,269,1.796838641166687,,
30,278,,,2.3944108486175537
30,278,1.815940260887146,,
31,279,,1.674949288368225,
31,287,,,2.2891106605529785
31,287,1.786041498184204,,
32,289,,1.941235065460205,
32,296,,,2.1839730739593506
32,296,1.7169691324234009,,
33,299,,1.9325754642486572,
33,305,,,2.3778841495513916
33,305,1.7088147401809692,,
34,309,,1.5465645790100098,
34,314,,,2.3562605381011963
34,314,1.690119981765747,,
35,319,,1.4604747295379639,
35,323,,,2.4012298583984375
35,323,1.617538332939148,,
36,329,,1.4918715953826904,
36,332,,,2.542177677154541
36,332,1.5777909755706787,,
37,339,,1.4805785417556763,
37,341,,,2.5406384468078613
37,341,1.5440349578857422,,
38,349,,1.7727959156036377,
38,350,,,2.581088066101074
38,350,1.6017513275146484,,
39,359,,1.1643564701080322,
39,359,,,2.6477060317993164
39,359,1.5324515104293823,,
40,368,,,2.7590301036834717
40,368,1.5513426065444946,,
41,369,,1.2573258876800537,
41,377,,,2.7911694049835205
41,377,1.4510390758514404,,
42,379,,1.6316807270050049,
42,386,,,2.826993703842163
42,386,1.4527814388275146,,
43,389,,1.670416235923767,
43,395,,,2.9191508293151855
43,395,1.413535475730896,,
44,399,,1.1760879755020142,
44,404,,,3.017928123474121
44,404,1.394842505455017,,
45,409,,1.3654640913009644,
45,413,,,3.078942060470581
45,413,1.4509614706039429,,
46,419,,1.6702399253845215,
46,422,,,3.043256998062134
46,422,1.431661605834961,,
47,429,,1.5417544841766357,
47,431,,,3.0381364822387695
47,431,1.406266689300537,,
48,439,,1.4314186573028564,
48,440,,,3.057236433029175
48,440,1.3950241804122925,,
49,449,,0.5912636518478394,
49,449,,,3.108797311782837
49,449,1.3399888277053833,,
50,458,,,3.1897177696228027
50,458,1.3326777219772339,,
51,459,,1.5095951557159424,
51,467,,,3.2067341804504395
51,467,1.396152377128601,,
52,469,,1.787421464920044,
52,476,,,3.1738529205322266
52,476,1.3318102359771729,,
53,479,,1.2512563467025757,
53,485,,,3.2464466094970703
53,485,1.3556066751480103,,
54,489,,1.0592567920684814,
54,494,,,3.2862019538879395
54,494,1.3520019054412842,,
55,499,,1.0944180488586426,
55,503,,,3.288154363632202
55,503,1.3378322124481201,,
56,509,,1.4227969646453857,
56,512,,,3.189370632171631
56,512,1.2780615091323853,,
57,519,,1.410942554473877,
57,521,,,3.1233842372894287
57,521,1.357762098312378,,
58,529,,1.3875601291656494,
58,530,,,3.13321590423584
58,530,1.3152339458465576,,
59,539,,0.9266685843467712,
59,539,,,3.183656930923462
59,539,1.2946962118148804,,
60,548,,,3.197617530822754
60,548,1.2566194534301758,,
61,549,,1.2224571704864502,
61,557,,,3.269033432006836
61,557,1.2669057846069336,,
62,559,,1.564885139465332,
62,566,,,3.3672935962677
62,566,1.2085446119308472,,
63,569,,1.4357682466506958,
63,575,,,3.392838478088379
63,575,1.2775505781173706,,
64,579,,1.3865787982940674,
64,584,,,3.381969690322876
64,584,1.2676289081573486,,
65,589,,0.9784483313560486,
65,593,,,3.3741679191589355
65,593,1.2589654922485352,,
66,599,,1.34639310836792,
66,602,,,3.417672872543335
66,602,1.2011590003967285,,
67,609,,1.1592528820037842,
67,611,,,3.431220531463623
67,611,1.2008287906646729,,
68,619,,1.191347599029541,
68,620,,,3.419985294342041
68,620,1.2416807413101196,,
69,629,,0.6075783371925354,
69,629,,,3.4211232662200928
69,629,1.2076351642608643,,
70,638,,,3.3805837631225586
70,638,1.2129780054092407,,
71,639,,1.5702537298202515,
71,647,,,3.3419442176818848
71,647,1.2339664697647095,,
72,649,,1.5909762382507324,
72,656,,,3.329817056655884
72,656,1.264981746673584,,
73,659,,1.1707518100738525,
73,665,,,3.3392245769500732
73,665,1.1636207103729248,,
74,669,,1.0654809474945068,
74,674,,,3.344848871231079
74,674,1.245577096939087,,
75,679,,0.9497586488723755,
75,683,,,3.363224506378174
75,683,1.2174283266067505,,
76,689,,1.5232493877410889,
76,692,,,3.363964080810547
76,692,1.2003225088119507,,
77,699,,1.1004760265350342,
77,701,,,3.371204376220703
77,701,1.225237250328064,,
78,709,,1.595526099205017,
78,710,,,3.393754005432129
78,710,1.2256300449371338,,
79,719,,0.49175816774368286,
79,719,,,3.4039857387542725
79,719,1.208134412765503,,
80,728,,,3.4118552207946777
80,728,1.2181941270828247,,
81,729,,1.3418381214141846,
81,737,,,3.4165427684783936
81,737,1.2443914413452148,,
82,739,,1.475521445274353,
82,746,,,3.4197371006011963
82,746,1.191349744796753,,
83,749,,1.2048906087875366,
83,755,,,3.4183967113494873
83,755,1.2181212902069092,,
84,759,,0.9896866083145142,
84,764,,,3.436614513397217
84,764,1.2193659543991089,,
85,769,,0.9425063133239746,
85,773,,,3.433483362197876
85,773,1.3043124675750732,,
86,779,,1.1565937995910645,
86,782,,,3.431691884994507
86,782,1.1621533632278442,,
87,789,,1.066300392150879,
87,791,,,3.435049533843994
87,791,1.1783924102783203,,
88,799,,1.687776803970337,
88,800,,,3.4417545795440674
88,800,1.1720173358917236,,
