split,age_group_label,survival,n,fold,age_threshold_used
train,old,0.2,2,0,54.0
train,old,0.5,3,0,54.0
train,old,1.0,1,0,54.0
train,old,1.2,1,0,54.0
train,old,2.1,1,0,54.0
train,old,2.2,1,0,54.0
train,old,2.5,1,0,54.0
train,old,2.7,1,0,54.0
train,old,2.8,1,0,54.0
train,old,2.9,1,0,54.0
train,old,3.3,1,0,54.0
train,old,3.6,1,0,54.0
train,old,3.7,1,0,54.0
train,old,4.2,1,0,54.0
train,old,4.5,1,0,54.0
train,old,4.8,1,0,54.0
train,old,5.0,2,0,54.0
train,old,5.2,1,0,54.0
train,old,5.3,1,0,54.0
train,old,5.4,2,0,54.0
train,old,6.0,2,0,54.0
train,old,6.2,1,0,54.0
train,old,6.8,1,0,54.0
train,old,6.9,1,0,54.0
train,old,7.0,1,0,54.0
train,old,7.2,1,0,54.0
train,old,7.4,1,0,54.0
train,old,7.7,1,0,54.0
train,old,7.9,1,0,54.0
train,old,8.0,3,0,54.0
train,old,8.3,1,0,54.0
train,old,9.3,1,0,54.0
train,old,9.8,1,0,54.0
train,old,10.4,1,0,54.0
train,old,10.8,1,0,54.0
train,old,11.4,1,0,54.0
train,old,11.7,1,0,54.0
train,old,12.9,1,0,54.0
train,old,13.9,1,0,54.0
train,old,14.2,1,0,54.0
train,old,14.6,1,0,54.0
train,old,14.7,1,0,54.0
train,old,14.9,1,0,54.0
train,old,15.0,1,0,54.0
train,old,15.1,1,0,54.0
train,old,15.4,1,0,54.0
train,old,15.5,1,0,54.0
train,old,15.6,1,0,54.0
train,old,16.0,1,0,54.0
train,old,16.7,1,0,54.0
train,old,17.1,1,0,54.0
train,old,17.4,1,0,54.0
train,old,17.7,1,0,54.0
train,old,18.3,1,0,54.0
train,old,18.4,1,0,54.0
train,old,18.8,1,0,54.0
train,old,19.1,1,0,54.0
train,old,20.4,1,0,54.0
train,old,20.6,1,0,54.0
train,old,25.4,1,0,54.0
train,old,26.7,1,0,54.0
train,old,27.2,1,0,54.0
train,old,28.5,1,0,54.0
train,old,30.7,1,0,54.0
train,old,37.0,1,0,54.0
train,old,40.3,1,0,54.0
train,old,42.0,1,0,54.0
train,old,65.7,1,0,54.0
train,young,0.1,2,0,54.0
train,young,0.2,2,0,54.0
train,young,0.8,1,0,54.0
train,young,2.3,1,0,54.0
train,young,2.7,1,0,54.0
train,young,2.8,1,0,54.0
train,young,3.0,1,0,54.0
train,young,3.8,1,0,54.0
train,young,3.9,1,0,54.0
train,young,4.7,1,0,54.0
train,young,5.7,1,0,54.0
train,young,5.8,1,0,54.0
train,young,7.2,1,0,54.0
train,young,7.7,2,0,54.0
train,young,7.8,2,0,54.0
train,young,8.5,1,0,54.0
train,young,9.4,1,0,54.0
train,young,10.0,1,0,54.0
train,young,10.6,1,0,54.0
train,young,10.9,1,0,54.0
train,young,11.9,1,0,54.0
train,young,12.2,1,0,54.0
train,young,12.4,1,0,54.0
train,young,12.6,1,0,54.0
train,young,13.3,1,0,54.0
train,young,13.4,1,0,54.0
train,young,14.2,1,0,54.0
train,young,14.7,1,0,54.0
train,young,15.1,1,0,54.0
train,young,15.3,1,0,54.0
train,young,16.5,1,0,54.0
train,young,17.0,1,0,54.0
train,young,17.4,1,0,54.0
train,young,17.5,1,0,54.0
train,young,17.9,1,0,54.0
train,young,18.9,2,0,54.0
train,young,19.2,1,0,54.0
train,young,19.9,1,0,54.0
train,young,21.4,1,0,54.0
