tag,adv_end,warmup,prox,cons,fold,phase,young_ci,old_ci,gap,src
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,0,before,0.891,0.5392,-0.3519,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,0,after,0.8846,0.5452,-0.3394,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,1,before,0.6,0.45,-0.15,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,1,after,0.6,0.4583,-0.1417,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,2,before,0.7458,0.5938,-0.152,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,2,after,0.7458,0.6,-0.1458,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,3,before,0.7824,0.5826,-0.1998,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,3,after,0.7778,0.5872,-0.1906,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,4,before,0.4048,0.4873,0.0825,slurm-13071324_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,4,after,0.4048,0.4831,0.0783,slurm-13071324_0.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,0,before,0.891,0.5392,-0.3519,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,0,after,0.8846,0.5452,-0.3394,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,1,before,0.6,0.4417,-0.1583,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,1,after,0.6,0.4542,-0.1458,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,2,before,0.7458,0.5938,-0.152,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,2,after,0.7458,0.6,-0.1458,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,3,before,0.7824,0.5826,-0.1998,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,3,after,0.7778,0.578,-0.1998,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,4,before,0.4048,0.4873,0.0825,slurm-13071324_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,4,after,0.4048,0.4831,0.0783,slurm-13071324_1.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,0,before,0.891,0.5392,-0.3519,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,0,after,0.8846,0.5482,-0.3364,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,1,before,0.6,0.45,-0.15,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,1,after,0.6,0.4583,-0.1417,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,2,before,0.7458,0.5938,-0.152,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,2,after,0.7458,0.6,-0.1458,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,3,before,0.7824,0.5826,-0.1998,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,3,after,0.7778,0.5826,-0.1952,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,4,before,0.4048,0.4873,0.0825,slurm-13071324_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,4,after,0.4048,0.4831,0.0783,slurm-13071324_2.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,0,before,0.891,0.5392,-0.3519,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,0,after,0.8846,0.5422,-0.3424,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,1,before,0.6,0.45,-0.15,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,1,after,0.6,0.4583,-0.1417,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,2,before,0.7458,0.5938,-0.152,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,2,after,0.7458,0.6,-0.1458,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,3,before,0.7824,0.5826,-0.1998,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,3,after,0.787,0.5826,-0.2045,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,4,before,0.4048,0.4873,0.0825,slurm-13071324_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,4,after,0.4048,0.4831,0.0783,slurm-13071324_3.out
